email,label
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: admin@company.com

Email Body: Please find attached the monthly report.",0
"Sender: it-support@securemail.com

Email Body: Dear user, your email password expires today. Reset now.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: hr@company.com

Email Body: Your salary has been credited successfully.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: noreply@fakebank.com

Email Body: Urgent: Update your BVN immediately to avoid restriction.",1
"Sender: manager@company.com

Email Body: Meeting scheduled for tomorrow at 10am.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
"Sender: support@bank-secure.com

Email Body: Your account has been suspended. Click link to verify now.",1
"Sender: sales@shop.com

Email Body: Your order has been delivered. Thank you for shopping.",0
"Sender: promo@lottery-ng.com

Email Body: You have won 竄ｦ500,000. Click here to claim.",1
